Vertical lines
-895862: -855875 -814090
572505: -855875 -814090
-901762: -814090 -761397
572505: -814090 -761397
-924695: -761397 -746193
572505: -761397 -746193
-961339: -746193 -743117
572505: -746193 -743117
-961339: -743117 -675711
572505: -743117 -675711
-965534: -675711 -652197
572505: -675711 -652197
-965534: -652197 -641754
572505: -652197 -641754
-965534: -641754 -624807
572505: -641754 -624807
-965534: -624807 -602362
572505: -624807 -602362
-965534: -602362 -565486
572505: -602362 -565486
-965534: -565486 -553070
572505: -565486 -553070
-965534: -553070 -538585
572505: -553070 -538585
-965534: -538585 -534104
572505: -538585 -534104
-965534: -534104 -517939
572505: -534104 -517939
-965534: -517939 -514491
572505: -517939 -514491
-965534: -514491 -504405
572505: -514491 -504405
-969443: -504405 -491554
572505: -504405 -491554
-969443: -491554 -480167
572505: -491554 -480167
-969443: -480167 -474940
572505: -480167 -474940
-969443: -474940 -467217
572505: -474940 -467217
-969443: -467217 -442815
572505: -467217 -442815
-969443: -442815 -440532
572505: -442815 -440532
-969443: -440532 -415852
572505: -440532 -415852
-969443: -415852 -402041
572505: -415852 -402041
-969443: -402041 -396748
572505: -402041 -396748
-969443: -396748 -392343
572505: -396748 -392343
-969443: -392343 -391814
572505: -392343 -391814
-969443: -391814 -382537
572505: -391814 -382537
-969443: -382537 -358335
572505: -382537 -358335
-969443: -358335 -339036
572505: -358335 -339036
-973534: -339036 -324960
572505: -339036 -324960
-973534: -324960 -316014
572505: -324960 -316014
-973534: -316014 -296931
572505: -316014 -296931
-973534: -296931 -272527
572505: -296931 -272527
-973534: -272527 -260110
572505: -272527 -260110
-973534: -260110 -251532
572505: -260110 -251532
-973534: -251532 -206803
572505: -251532 -206803
-973534: -206803 -206506
572505: -206803 -206506
-973534: -206506 -206247
572505: -206506 -206247
-973534: -206247 -202442
572505: -206247 -202442
-973534: -202442 -187371
572505: -202442 -187371
-973534: -187371 -83470
572505: -187371 -83470
-973534: -83470 -68861
572505: -83470 -68861
-973534: -68861 -62915
572505: -68861 -62915
-973534: -62915 -62739
572505: -62915 -62739
-973534: -62739 -54391
572505: -62739 -54391
-973534: -54391 -53363
572505: -54391 -53363
-973534: -53363 -53062
572505: -53363 -53062
-973534: -53062 -23446
572505: -53062 -23446
-973534: -23446 -20431
572505: -23446 -20431
-973534: -20431 -20061
572505: -20431 -20061
-973534: -20061 -18722
572505: -20061 -18722
-973534: -18722 -17717
572505: -18722 -17717
-973534: -17717 -4111
572505: -17717 -4111
-973534: -4111 2108
572505: -4111 2108
-973534: 2108 3184
572505: 2108 3184
-973534: 3184 5449
572505: 3184 5449
-973534: 5449 10011
572505: 5449 10011
-973534: 10011 12511
572505: 10011 12511
-973534: 12511 23686
572505: 12511 23686
-973534: 23686 46781
572505: 23686 46781
-973534: 46781 51006
572505: 46781 51006
-973534: 51006 56930
572505: 51006 56930
-973534: 56930 72627
572505: 56930 72627
-973534: 72627 72831
572505: 72627 72831
-973534: 72831 78284
572505: 72831 78284
-973534: 78284 90972
