Vertical lines
572505: 78284 90972
-973534: 90972 96446
572505: 90972 96446
-973534: 96446 99042
572505: 96446 99042
-973534: 99042 104005
572505: 99042 104005
-973534: 104005 108708
572505: 104005 108708
-973534: 108708 110974
572505: 108708 110974
-993244: 110974 111754
572505: 110974 111754
-993244: 111754 124245
572505: 111754 124245
-993244: 124245 144263
572505: 124245 144263
-993244: 144263 150769
572505: 144263 150769
-993244: 150769 165290
572505: 150769 165290
-993244: 165290 183792
572505: 165290 183792
-993244: 183792 185049
572505: 183792 185049
-993244: 185049 186702
572505: 185049 186702
-993244: 186702 188970
572505: 186702 188970
-993244: 188970 197871
572505: 188970 197871
-993244: 197871 200868
572991: 197871 200868
-993244: 200868 204510
572991: 200868 204510
-993244: 204510 207686
572991: 204510 207686
-993244: 207686 220193
572991: 207686 220193
-993244: 220193 232419
572991: 220193 232419
-993244: 232419 242073
572991: 232419 242073
-993244: 242073 244602
572991: 242073 244602
-993244: 244602 249709
572991: 244602 249709
-993244: 249709 271673
896998: 249709 271673
-993244: 271673 295951
896998: 271673 295951
-993244: 295951 300962
896998: 295951 300962
-993244: 300962 301248
896998: 300962 301248
-993244: 301248 303902
896998: 301248 303902
-993244: 303902 333888
896998: 303902 333888
-993244: 333888 336920
896998: 333888 336920
-993244: 336920 338500
896998: 336920 338500
-993244: 338500 342781
896998: 338500 342781
-993244: 342781 346036
896998: 342781 346036
-993244: 346036 355202
896998: 346036 355202
-993244: 355202 362820
896998: 355202 362820
-993244: 362820 367824
896998: 362820 367824
-993244: 367824 371290
896998: 367824 371290
-993244: 371290 372423
896998: 371290 372423
-993244: 372423 395053
896998: 372423 395053
-993244: 395053 397333
896998: 395053 397333
-993244: 397333 411109
896998: 397333 411109
-993244: 411109 414219
896998: 411109 414219
-993244: 414219 418868
896998: 414219 418868
-993244: 418868 418956
896998: 418868 418956
-993244: 418956 429352
896998: 418956 429352
-993244: 429352 432977
896998: 429352 432977
-993244: 432977 438842
896998: 432977 438842
-993244: 438842 465028
896998: 438842 465028
-993244: 465028 471381
896998: 465028 471381
-993244: 471381 489841
896998: 471381 489841
-993244: 489841 492749
896998: 489841 492749
-993244: 492749 518292
896998: 492749 518292
-993244: 518292 518674
896998: 518292 518674
-993244: 518674 522730
896998: 518674 522730
-993244: 522730 545883
896998: 522730 545883
-993244: 545883 548132
896998: 545883 548132
-993244: 548132 550996
896998: 548132 550996
-993244: 550996 559630
896998: 550996 559630
-993244: 559630 568065
896998: 559630 568065
-993244: 568065 571806
896998: 568065 571806
-993244: 571806 576018
896998: 571806 576018
-993244: 576018 576727
896998: 576018 576727
-993244: 576727 580103
896998: 576727 580103
-993244: 580103 581143
896998: 580103 581143
-993244: 581143 584413
896998: 581143 584413
-993244: 584413 590190
896998: 584413 590190
-993244: 590190 595132
896998: 590190 595132
-993244: 595132 603853
896998: 595132 603853
-993244: 603853 608314
896998: 603853 608314
-993244: 608314 611053
896998: 608314 611053
-993244: 611053 616042
896998: 611053 616042
-993244: 616042 616673
896998: 616042 616673
-993244: 616673 617628
896998: 616673 617628
-993244: 617628 620774
896998: 617628 620774
-993244: 620774 620975
896998: 620774 620975
-993244: 620975 630654
896998: 620975 630654
-993244: 630654 637056
896998: 630654 637056
-993244: 637056 640795
896998: 637056 640795
-993244: 640795 642423
896998: 640795 642423
-993244: 642423 647031
896998: 642423 647031
-993244: 647031 651862
896998: 647031 651862
-993244: 651862 668599
896998: 651862 668599
-993244: 668599 674375
896998: 668599 674375
-993244: 674375 676432
896998: 674375 676432
-993244: 676432 684004
896998: 676432 684004
-993244: 684004 703829
896998: 684004 703829
-993244: 703829 709466
896998: 703829 709466
-993244: 709466 715249
896998: 709466 715249
-993244: 715249 719302
896998: 715249 719302
-993244: 719302 727794
896998: 719302 727794
-993244: 727794 733603
896998: 727794 733603
-993244: 733603 736266
896998: 733603 736266
-955828: 736266 748326
896998: 736266 748326
-955828: 748326 752955
896998: 748326 752955
-955828: 752955 757549
896998: 752955 757549
-955828: 757549 766860
896998: 757549 766860
-955828: 766860 767674
896998: 766860 767674
-955828: 767674 768321
896998: 767674 768321
-955828: 768321 777751
896998: 768321 777751
-955828: 777751 783949
896998: 777751 783949
-955828: 783949 799685
896998: 783949 799685
-955828: 799685 800327
896998: 799685 800327
-955828: 800327 824326
896998: 800327 824326
-955828: 824326 836058
896998: 824326 836058
-955828: 836058 840134
896998: 836058 840134
-955828: 840134 848820
896998: 840134 848820
-955828: 848820 851826
896998: 848820 851826
-955828: 851826 856320
896998: 851826 856320
-955828: 856320 890299
896998: 856320 890299
-955828: 890299 893879
896998: 890299 893879
-955828: 893879 894818
896998: 893879 894818
-955828: 894818 902208
896998: 894818 902208
-992423: 902208 902618
896998: 902208 902618
-992423: 902618 903795
896998: 902618 903795
-992423: 903795 903866
896998: 903795 903866
-992423: 903866 903986
896998: 903866 903986
-992423: 903986 930628
896998: 903986 930628
-992423: 930628 934352
896998: 930628 934352
-992423: 934352 938835
896998: 934352 938835
-992423: 938835 944908
896998: 938835 944908
-992423: 944908 948781
896998: 944908 948781
-992423: 948781 950655
896998: 948781 950655
-992423: 950655 952855
896998: 950655 952855
-992423: 952855 953836
896998: 952855 953836
-992423: 953836 955037
896998: 953836 955037
-992423: 955037 968041
896998: 955037 968041
-992423: 968041 973650
896998: 968041 973650
-992423: 973650 981834
896998: 973650 981834
-992423: 981834 992440
896998: 981834 992440
-992423: 992440 993439
896998: 992440 993439
-807425: 993439 997933
896998: 993439 997933
-655967: 997933 998786
896998: 997933 998786
Horizontal lines
110974: -993244 -992423
736266: -993244 -992423
110974: -992423 -991413
736266: -992423 -991413
902208: -992423 -991413
993439: -992423 -991413
110974: -991413 -986395
736266: -991413 -986395
902208: -991413 -986395
993439: -991413 -986395
110974: -986395 -973534
736266: -986395 -973534
902208: -986395 -973534
993439: -986395 -973534
-339036: -973534 -971580
736266: -973534 -971580
902208: -973534 -971580
993439: -973534 -971580
-339036: -971580 -969778
736266: -971580 -969778
902208: -971580 -969778
993439: -971580 -969778
-339036: -969778 -969443
736266: -969778 -969443
902208: -969778 -969443
993439: -969778 -969443
-504405: -969443 -967595
736266: -969443 -967595
902208: -969443 -967595
993439: -969443 -967595
-504405: -967595 -965534
736266: -967595 -965534
902208: -967595 -965534
993439: -967595 -965534
-675711: -965534 -961339
736266: -965534 -961339
902208: -965534 -961339
993439: -965534 -961339
-746193: -961339 -955828
736266: -961339 -955828
902208: -961339 -955828
993439: -961339 -955828
-746193: -955828 -954513
993439: -955828 -954513
-746193: -954513 -954464
993439: -954513 -954464
-746193: -954464 -952309
993439: -954464 -952309
-746193: -952309 -945175
993439: -952309 -945175
-746193: -945175 -944041
993439: -945175 -944041
-746193: -944041 -943075
993439: -944041 -943075
-746193: -943075 -940982
993439: -943075 -940982
-746193: -940982 -934857
993439: -940982 -934857
-746193: -934857 -924695
993439: -934857 -924695
-761397: -924695 -907401
993439: -924695 -907401
-761397: -907401 -901762
993439: -907401 -901762
-814090: -901762 -895862
993439: -901762 -895862
-855875: -895862 -894235
993439: -895862 -894235
-855875: -894235 -887253
993439: -894235 -887253
-855875: -887253 -885606
993439: -887253 -885606
-855875: -885606 -882067
993439: -885606 -882067
-855875: -882067 -875249
993439: -882067 -875249
-855875: -875249 -846877
993439: -875249 -846877
-855875: -846877 -842498
993439: -846877 -842498
-855875: -842498 -837578
993439: -842498 -837578
-855875: -837578 -836323
993439: -837578 -836323
-855875: -836323 -833824
993439: -836323 -833824
-855875: -833824 -827043
993439: -833824 -827043
-855875: -827043 -821106
993439: -827043 -821106
-855875: -821106 -815400
993439: -821106 -815400
-855875: -815400 -814190
993439: -815400 -814190
-855875: -814190 -810697
993439: -814190 -810697
-855875: -810697 -810547
993439: -810697 -810547
-855875: -810547 -808175
993439: -810547 -808175
-855875: -808175 -807425
993439: -808175 -807425
-855875: -807425 -807203
997933: -807425 -807203
-855875: -807203 -804722
997933: -807203 -804722
-855875: -804722 -803247
997933: -804722 -803247
-855875: -803247 -800843
997933: -803247 -800843
-855875: -800843 -794434
997933: -800843 -794434
-855875: -794434 -781718
997933: -794434 -781718
-855875: -781718 -781052
997933: -781718 -781052
-855875: -781052 -768602
997933: -781052 -768602
-855875: -768602 -765280
997933: -768602 -765280
-855875: -765280 -757507
997933: -765280 -757507
-855875: -757507 -756454
997933: -757507 -756454
-855875: -756454 -754117
997933: -756454 -754117
-855875: -754117 -750449
997933: -754117 -750449
-855875: -750449 -731077
997933: -750449 -731077
-855875: -731077 -727835
997933: -731077 -727835
-855875: -727835 -724058
997933: -727835 -724058
-855875: -724058 -706657
997933: -724058 -706657
-855875: -706657 -704635
997933: -706657 -704635
-855875: -704635 -696734
997933: -704635 -696734
-855875: -696734 -684721
997933: -696734 -684721
-855875: -684721 -667658
997933: -684721 -667658
-855875: -667658 -666963
997933: -667658 -666963
-855875: -666963 -663480
997933: -666963 -663480
-855875: -663480 -659512
997933: -663480 -659512
-855875: -659512 -658465
997933: -659512 -658465
-855875: -658465 -657877
997933: -658465 -657877
-855875: -657877 -656454
997933: -657877 -656454
-855875: -656454 -655967
997933: -656454 -655967
-855875: -655967 -653446
998786: -655967 -653446
-855875: -653446 -649967
998786: -653446 -649967
-855875: -649967 -645882
998786: -649967 -645882
-855875: -645882 -640502
998786: -645882 -640502
-855875: -640502 -637543
998786: -640502 -637543
-855875: -637543 -621171
998786: -637543 -621171
-855875: -621171 -620751
998786: -621171 -620751
-855875: -620751 -617931
998786: -620751 -617931
-855875: -617931 -615208
998786: -617931 -615208
-855875: -615208 -609753
998786: -615208 -609753
-855875: -609753 -608935
998786: -609753 -608935
-855875: -608935 -605998
998786: -608935 -605998
-855875: -605998 -603359
998786: -605998 -603359
-855875: -603359 -594579
998786: -603359 -594579
-855875: -594579 -588019
998786: -594579 -588019
-855875: -588019 -582657
998786: -588019 -582657
-855875: -582657 -581555
998786: -582657 -581555
-855875: -581555 -577670
998786: -581555 -577670
-855875: -577670 -567153
998786: -577670 -567153
-855875: -567153 -559596
998786: -567153 -559596
-855875: -559596 -556223
998786: -559596 -556223
-855875: -556223 -548247
998786: -556223 -548247
-855875: -548247 -545909
998786: -548247 -545909
-855875: -545909 -536689
998786: -545909 -536689
-855875: -536689 -522783
998786: -536689 -522783
-855875: -522783 -519969
998786: -522783 -519969
-855875: -519969 -492174
998786: -519969 -492174
-855875: -492174 -491139
998786: -492174 -491139
-855875: -491139 -476130
998786: -491139 -476130
-855875: -476130 -465829
998786: -476130 -465829
-855875: -465829 -465448
998786: -465829 -465448
-855875: -465448 -456970
998786: -465448 -456970
-855875: -456970 -444437
998786: -456970 -444437
-855875: -444437 -439990
998786: -444437 -439990
-855875: -439990 -436250
998786: -439990 -436250
-855875: -436250 -435787
998786: -436250 -435787
-855875: -435787 -419536
998786: -435787 -419536
-855875: -419536 -418246
998786: -419536 -418246
-855875: -418246 -412394
998786: -418246 -412394
-855875: -412394 -395776
998786: -412394 -395776
-855875: -395776 -377462
998786: -395776 -377462
-855875: -377462 -370042
998786: -377462 -370042
-855875: -370042 -366137
998786: -370042 -366137
-855875: -366137 -355336
998786: -366137 -355336
-855875: -355336 -347350
998786: -355336 -347350
-855875: -347350 -344888
998786: -347350 -344888
-855875: -344888 -341388
998786: -344888 -341388
-855875: -341388 -340190
998786: -341388 -340190
-855875: -340190 -331011
998786: -340190 -331011
-855875: -331011 -330441
998786: -331011 -330441
-855875: -330441 -326020
998786: -330441 -326020
-855875: -326020 -322656
998786: -326020 -322656
-855875: -322656 -322045
998786: -322656 -322045
-855875: -322045 -312417
998786: -322045 -312417
-855875: -312417 -312270
998786: -312417 -312270
-855875: -312270 -306767
998786: -312270 -306767
-855875: -306767 -290827
998786: -306767 -290827
-855875: -290827 -256213
998786: -290827 -256213
-855875: -256213 -249296
998786: -256213 -249296
-855875: -249296 -249113
998786: -249296 -249113
-855875: -249113 -238194
998786: -249113 -238194
-855875: -238194 -224855
998786: -238194 -224855
-855875: -224855 -216368
998786: -224855 -216368
-855875: -216368 -213888
998786: -216368 -213888
-855875: -213888 -213338
998786: -213888 -213338
-855875: -213338 -205159
998786: -213338 -205159
-855875: -205159 -195694
998786: -205159 -195694
-855875: -195694 -189872
998786: -195694 -189872
-855875: -189872 -186041
998786: -189872 -186041
-855875: -186041 -173257
998786: -186041 -173257
-855875: -173257 -168905
998786: -173257 -168905
-855875: -168905 -123437
998786: -168905 -123437
-855875: -123437 -122785
998786: -123437 -122785
-855875: -122785 -113158
998786: -122785 -113158
-855875: -113158 -93001
998786: -113158 -93001
-855875: -93001 -81239
998786: -93001 -81239
-855875: -81239 -75314
998786: -81239 -75314
-855875: -75314 -74879
998786: -75314 -74879
-855875: -74879 -73552
998786: -74879 -73552
-855875: -73552 -61077
998786: -73552 -61077
-855875: -61077 -32543
998786: -61077 -32543
-855875: -32543 -26225
998786: -32543 -26225
-855875: -26225 -23658
998786: -26225 -23658
-855875: -23658 1137
998786: -23658 1137
-855875: 1137 4174
998786: 1137 4174
-855875: 4174 10334
998786: 4174 10334
-855875: 10334 11257
998786: 10334 11257
-855875: 11257 28622
998786: 11257 28622
-855875: 28622 52228
998786: 28622 52228
-855875: 52228 53615
998786: 52228 53615
-855875: 53615 58944
998786: 53615 58944
-855875: 58944 61096
998786: 58944 61096
-855875: 61096 92463
998786: 61096 92463
-855875: 92463 94853
998786: 92463 94853
-855875: 94853 118001
998786: 94853 118001
-855875: 118001 119083
998786: 118001 119083
-855875: 119083 135986
998786: 119083 135986
-855875: 135986 145074
998786: 135986 145074
-855875: 145074 170112
998786: 145074 170112
-855875: 170112 187001
998786: 170112 187001
-855875: 187001 199274
998786: 187001 199274
-855875: 199274 204489
998786: 199274 204489
-855875: 204489 245088
998786: 204489 245088
-855875: 245088 245408
998786: 245088 245408
-855875: 245408 248986
998786: 245408 248986
-855875: 248986 256932
998786: 248986 256932
-855875: 256932 274495
998786: 256932 274495
-855875: 274495 280488
998786: 274495 280488
-855875: 280488 301515
998786: 280488 301515
-855875: 301515 319066
998786: 301515 319066
-855875: 319066 319149
998786: 319066 319149
-855875: 319149 362814
998786: 319149 362814
-855875: 362814 379447
998786: 362814 379447
-855875: 379447 408169
998786: 379447 408169
-855875: 408169 440475
998786: 408169 440475
-855875: 440475 455940
998786: 440475 455940
-855875: 455940 461219
998786: 455940 461219
-855875: 461219 555866
998786: 461219 555866
-855875: 555866 559473
998786: 555866 559473
-855875: 559473 572505
998786: 559473 572505
197871: 572505 572991
998786: 572505 572991
249709: 572991 576024
998786: 572991 576024
249709: 576024 582042
998786: 576024 582042
249709: 582042 616089
998786: 582042 616089
249709: 616089 696714
998786: 616089 696714
249709: 696714 735925
998786: 696714 735925
249709: 735925 809011
998786: 735925 809011
249709: 809011 816293
998786: 809011 816293
249709: 816293 896302
998786: 816293 896302
249709: 896302 896998
998786: 896302 896998
