Vertical lines
620: 44 58
872: 44 58
585: 58 206
872: 58 206
483: 206 213
872: 206 213
483: 213 229
872: 213 229
483: 229 352
872: 229 352
483: 352 357
872: 352 357
483: 357 380
872: 357 380
483: 380 391
949: 380 391
483: 391 396
872: 391 396
394: 396 399
475: 396 399
483: 396 399
872: 396 399
19: 399 449
965: 399 449
19: 449 698
965: 449 698
19: 698 724
965: 698 724
394: 724 780
475: 724 780
483: 724 780
872: 724 780
394: 780 806
475: 780 806
483: 780 806
815: 780 806
394: 806 885
475: 806 885
483: 806 885
815: 806 885
483: 885 896
815: 885 896
489: 896 955
815: 896 955
489: 955 989
815: 955 989
Horizontal lines
399: 19 394
724: 19 394
396: 394 475
885: 394 475
399: 475 483
724: 475 483
206: 483 489
896: 483 489
206: 489 585
989: 489 585
58: 585 617
989: 585 617
58: 617 620
989: 617 620
44: 620 738
989: 620 738
44: 738 739
989: 738 739
44: 739 764
989: 739 764
44: 764 789
989: 764 789
44: 789 812
989: 789 812
44: 812 815
989: 812 815
44: 815 848
780: 815 848
44: 848 872
780: 848 872
380: 872 932
391: 872 932
399: 872 932
724: 872 932
380: 932 949
391: 932 949
399: 932 949
724: 932 949
399: 949 965
724: 949 965
